Address;Changed Use;City;Completed Date;Completed Month;Completed Year;Description;Existing Use;Filed Date;Issued Date;Issued Month;Issued Year;Neighborhoods Boundaries;Permit Expiration Date;Permit Number;Permit Type;Proposed Construction Type Description;Proposed Use;Record Id;State;Zipcode;Estimated Cost;Estimated Revised Diff;Filed Issued Days;Issued Completed Days;Issued Completed Years;Issued Expiration Days;Latitude;Longitude;Number of Records;Revised Cost
44 Montgomery St,San Francisco,CA,94104;True;San Francisco;5.03.2019;Mar;2019;"lower level: interior demo of non-structural elements: interior partitions, doors, finishes, ceiling, lighting, mechanical & electrical outlets & switches; new scope includes new door & frames, partitions, lighting & finishes. mep submitted as separate permit. maher na";office;16.08.2018;14.09.2018;Sep;2018;Financial District/South Beach;29.08.2021;201808167490;otc alterations permit;constr_type_1;health studios & gym;151979767101;CA;94104;700000;0;29;172;1;1080;37,7896307;-122,401887561;1;700000
370 12th St,San Francisco,CA,94103;True;San Francisco;7.01.2002;Jan;2002;vertical addition;not applicable;24.02.1998;4.05.1999;May;1999;Mission;4.05.2001;;additions alterations or repairs;wood_frame_5;artist live/work;657110156764;CA;94103;700000;200000;434;979;3;731;37,770191192;-122,413610612;1;900000
1652 Eddy St,San Francisco,CA,94115;True;San Francisco;22.11.2002;Nov;2002;horizontal addition, new walls & partitions, doors and frams, full sprinkler system and fire alarm s;1 family dwelling;3.05.2000;30.10.2000;Oct;2000;Western Addition;30.04.2003;200005038962;additions alterations or repairs;wood_frame_5;apartments;81665380664;CA;94115;700000;800000;180;753;2;912;37,7812796;-122,434947266;1;1500000
3131 Webster St,San Francisco,CA,94123;True;San Francisco;19.10.2001;Oct;2001;alter windows. reclad siding w/stucco.  conncect frot and rear building with 2nd fl deck;food/beverage hndlng;22.05.2000;25.08.2000;Aug;2000;Marina;25.08.2002;200005220580;additions alterations or repairs;wood_frame_5;office;81869972439;CA;94123;700000;0;95;420;1;730;37,799771735;-122,434453347;1;700000
2029 Market St,San Francisco,CA,94114;True;San Francisco;5.01.2017;Jan;2017;change of use. from a-2 (restaurant) to b,m (medical cannabis dispensary). remove interior non-structural partitions, doors, millwork and plumbing fixtures. install new partitions, doors and millwork.;food/beverage hndlng;20.11.2015;15.06.2016;Jun;2016;Castro/Upper Market;31.05.2019;201511203204;additions alterations or repairs;constr_type_1;retail sales;1426875506010;CA;94114;684000;0;208;204;1;1080;37,7683409;-122,4275629;1;684000
160 Russ St,San Francisco,CA,94103;True;San Francisco;1.02.2018;Feb;2018;change of use. convert ground floor from auto repair shop to residential unit + artist activitives. convert 2nd floor from business to a res'd unit. private roof deck, alterlation + renovation to (e) interior + exterior. structural, mep based on architectural scope of work.;office;20.08.2012;25.02.2014;Feb;2014;South of Market;9.02.2017;201208207754;additions alterations or repairs;constr_type_3;2 family dwelling;1280012165391;CA;94103;675000;178131,09;554;1437;4;1080;37,7779963;-122,4074117;1;853131,09
164 Russ St,San Francisco,CA,94103;True;San Francisco;1.02.2018;Feb;2018;change of use. convert ground floor from auto repair shop to residential unit + artist activitives. convert 2nd floor from business to a res'd unit. private roof deck, alterlation + renovation to (e) interior + exterior. structural, mep based on architectural scope of work.;office;20.08.2012;25.02.2014;Feb;2014;South of Market;9.02.2017;201208207754;additions alterations or repairs;constr_type_3;2 family dwelling;1280013370793;CA;94103;675000;178131,09;554;1437;4;1080;37,77792485;-122,407579277;1;853131,09
780 Brannan St,San Francisco,CA,94103;True;San Francisco;5.10.2017;Oct;2017;change of use from auto repair to lab. convert 9,700 sq ft of (e) area as permitted under sect 890.52 of the planning code. const. includes new walls, casework, ceiling & finishes w/associated mep scope, scope also includes access compliance;auto repairs;15.07.2016;2.11.2016;Nov;2016;South of Market;18.10.2019;201607152511;additions alterations or repairs;wood_frame_5;clinics-medic/dental;1430254493716;CA;94103;673500;326500;110;337;1;1080;37,7735543;-122,403054973;1;1000000
500 Capp St,San Francisco,CA,94110;True;San Francisco;3.12.2015;Dec;2015;renovate of exist 3-story single family home incl new foundation & completion of partial basement. work also incl construct of a new 2nd dwelling unit at the rear yard.;1 family dwelling;1.07.2010;17.02.2012;Feb;2012;Mission;1.02.2015;201007015845;additions alterations or repairs;wood_frame_5;office;1210929161920;CA;94110;661376,25;0;596;1385;3;1080;37,7585857;-122,418173551;1;661376,25
1735 Webster St,San Francisco,CA,94115;True;San Francisco;9.03.2009;Mar;2009;merge 2 condo into single family residence. infill below the exist 2/fl deck. remodel at interior, add trellis/windscreen at 3/flr deck. remove exist rear yard stair & construct new rear yard stair, remove exist stair at rear of house connect 2nd&3rd floor.replace w/ spiral stair connect all floors.;2 family dwelling;26.01.2006;4.06.2007;Jun;2007;Pacific Heights;4.06.2009;200601263121;additions alterations or repairs;wood_frame_5;1 family dwelling;104202478612;CA;94115;650000;0;494;644;2;731;37,786933434;-122,431513672;1;650000
1737 Webster St,San Francisco,CA,94115;True;San Francisco;9.03.2009;Mar;2009;merge 2 condo into single family residence. infill below the exist 2/fl deck. remodel at interior, add trellis/windscreen at 3/flr deck. remove exist rear yard stair & construct new rear yard stair, remove exist stair at rear of house connect 2nd&3rd floor.replace w/ spiral stair connect all floors.;2 family dwelling;26.01.2006;4.06.2007;Jun;2007;Pacific Heights;4.06.2009;200601263121;additions alterations or repairs;wood_frame_5;1 family dwelling;104202578613;CA;94115;650000;0;494;644;2;731;37,7868722;-122,432010399;1;650000
1621 Irving St,San Francisco,CA,94122;True;San Francisco;6.02.2012;Feb;2012;horizontal & vertical addition 3 unit condominum, reise (e) bldg, add 2 feet all existing floor to remain the same, add 1 commercial  unit @ ground level and basement, add 4 car parking system . 2nd floor expansion, remodel (e) unit .;1 family dwelling;20.05.2008;14.09.2009;Sep;2009;Inner Sunset;29.08.2012;200805202523;additions alterations or repairs;wood_frame_5;apartments;1136528113535;CA;94122;650000;71740;482;875;3;1080;37,7635254;-122,4754214;1;721740
1335 Sutter St,San Francisco,CA,94109;True;San Francisco;17.11.2014;Nov;2014;change of use from b to e occupancy.  interior tenant improvements including minimal demo, new stairs, & partition changes to accomodate preschool program. no changes to historic facades.;office;27.08.2012;16.01.2014;Jan;2014;Western Addition;31.12.2016;201208278287;additions alterations or repairs;constr_type_3;school;128071179576;CA;94109;650000;1100000;507;305;0;1080;37,7873872;-122,4223912;1;1750000
557 Howard St,San Francisco,CA,94105;True;San Francisco;24.10.2013;Oct;2013;tenant improvement of existing office /retail for corp offices & restaurant. new elect, lighting, add/upgrade restrooms, lower floor (@ howard st 896 s.f.), new storefront, new stairs, new windows.;retail sales;28.02.2013;16.05.2013;May;2013;Financial District/South Beach;30.04.2016;201302281188;otc alterations permit;constr_type_3;food/beverage hndlng;1297431165644;CA;94105;650000;620691;77;161;0;1080;37,787633513;-122,397029894;1;1270691
229 Haight St,San Francisco,CA,94102;True;San Francisco;24.03.2016;Mar;2016;fire sprinkler work associated with building remodel under pa#201308305692.;office;7.03.2014;9.01.2015;Jan;2015;Hayes Valley;24.12.2017;201403070172;additions alterations or repairs;wood_frame_5;apartments;1334736490816;CA;94102;650000;0;308;440;1;1080;37,7731877;-122,4220371;1;650000
1236 Arguello Blvd,San Francisco,CA,94117;True;San Francisco;23.03.2018;Mar;2018;vertical & horizontal additions to existing single family bldg, to create 3 family bldg. new window and doors and build systems.;1 family dwelling;23.05.2014;1.04.2016;Apr;2016;Inner Sunset;17.03.2019;201405236581;additions alterations or repairs;wood_frame_5;apartments;134308494346;CA;94117;650000;0;679;721;2;1080;37,76525975;-122,457488844;1;650000
925 Market St,San Francisco,CA,94103;True;San Francisco;23.08.2017;Aug;2017;"interior improvements for new restaurant t.i. ""the melt"" cbc 303.1.2 to include mep at g/f & basement.";retail sales;5.12.2016;2.06.2017;Jun;2017;South of Market;17.05.2020;201612054156;otc alterations permit;wood_frame_5;food/beverage hndlng;1446337164412;CA;94103;650000;0;179;82;0;1080;37,7813537;-122,4113456;1;650000
533 2nd St,San Francisco,CA,94107;True;San Francisco;5.05.1995;May;1995;vertical addition;retail sales;24.12.1992;14.04.1993;Apr;1993;Financial District/South Beach;14.04.1995;9222099;additions alterations or repairs;constr_type_4;apartments;785071360678;CA;94107;650000;83000;111;751;2;730;37,7827398;-122,392788738;1;733000
1663 Market St,San Francisco,CA,94103;True;San Francisco;6.09.2013;Sep;2013;interior t.i.:construct non load bearing partitions, doors, finishes and associated electrical/data wiring and lighting, hvac and  plumbing modifications to create a dedicated space for employees and volunteers that provide emergency services to the community. there is no structural work,;retail sales;31.10.2012;2.11.2012;Nov;2012;Mission;18.10.2015;201210313223;otc alterations permit;constr_type_3;office;1287246453608;CA;94103;642000;0;2;308;1;1080;37,7813537;-122,4113456;1;642000
2559 Van Ness Av,San Francisco,CA,94123;True;San Francisco;17.06.2015;Jun;2015;work to convert new space to work out gym includes new ada showers, restrooms, mep;1 family dwelling;27.06.2014;29.07.2014;Jul;2014;Marina;13.07.2017;201406279910;otc alterations permit;constr_type_1;health studios & gym;1347175489752;CA;94123;630000;0;32;323;1;1080;37,8012727;-122,4246202;1;630000
101 Townsend St,San Francisco,CA,94107;True;San Francisco;23.02.2016;Feb;2016;"3rd flr: t.i. includes the build out of the 3rd flr with non-structural partitions, ceiling, lighting & finishes. mep included (bldg not sprinklered); bldg not sprinklered. life safety under separate permit. change use under ap#2015.0505.5374. maher n/a";manufacturing;6.10.2014;10.07.2015;Jul;2015;Mission Bay;24.06.2018;201410068151;otc alterations permit;constr_type_2;office;1357901167872;CA;94107;630000;510000;277;228;1;1080;37,78025865;-122,3905192;1;1140000
101 Townsend St,San Francisco,CA,94107;True;San Francisco;23.02.2016;Feb;2016;2nd floor - t.i. includes building out with non-structural partitions, ceiling, lighting and finishes. mep included. life safety under separate permit. change of use under ap# 2015-0505-5374. maher n/a.;manufacturing;6.10.2014;10.07.2015;Jul;2015;Mission Bay;24.06.2018;201410068155;otc alterations permit;constr_type_2;office;1357904167872;CA;94107;630000;510000;277;228;1;1080;37,78025865;-122,3905192;1;1140000
101 Townsend St,San Francisco,CA,94107;True;San Francisco;27.04.2016;Apr;2016;1/f t.i. include build out of the 1st flr w/non-structural partitions. mep, electrical & plumbing included. life safety work under separate permit. (bldg not sprinkelered). change use under ap# 201505055374. n/a maher.;manufacturing;21.04.2015;23.07.2015;Jul;2015;Mission Bay;7.07.2018;201504214160;otc alterations permit;constr_type_2;office;1378748167872;CA;94107;629590;270410;93;279;1;1080;37,78025865;-122,3905192;1;900000
101 Townsend St,San Francisco,CA,94107;True;San Francisco;12.04.2016;Apr;2016;"basement t.i. includes building out of basement level with non-structural partitions, mep included (building not sprinklered); change of use under ap# 2015.0505.5374. maher n/a";manufacturing;21.04.2015;10.07.2015;Jul;2015;Mission Bay;24.06.2018;201504214165;otc alterations permit;constr_type_2;office;1378755167872;CA;94107;629590;460410;80;277;1;1080;37,78025865;-122,3905192;1;1090000
3981 Alemany Blvd,San Francisco,CA,94132;True;San Francisco;28.11.2011;Nov;2011;change of occupancy from retail to bank (chase)new interior atm, non struc partitions, clgs, soffits, finishes, furniture and related hvac, elec and plbg. work at ground floor;retail sales;8.08.2011;6.09.2011;Sep;2011;Oceanview/Merced/Ingleside;21.08.2014;201108081965;otc alterations permit;constr_type_1;prkng garage/public;1248710387970;CA;94132;625000;0;29;83;0;1080;37,710678959;-122,468726571;1;625000
3228 Sacramento St,San Francisco,CA,94115;True;San Francisco;23.10.2013;Oct;2013;ti-new restaurant.incl interior & exterior to grd fl commercial space with no expansion of exist bldg envelope. kitchen, office space & storage spaces also incl. change of occupancy from m to a-2;retail sales;16.11.2012;18.03.2013;Mar;2013;Presidio Heights;2.03.2016;201211164368;additions alterations or repairs;wood_frame_5;food/beverage hndlng;128870086897;CA;94115;625000;0;122;219;0;1080;37,78857715;-122,446194709;1;625000
438 Treat Av,San Francisco,CA,94110;True;San Francisco;21.02.2020;Feb;2020;interior renovation of approximately 1400 sf consisting of converting existing kitchen a food application reasearch kitch lab, combine (e)rooms and converting them to food processing research lab on the 1st fl e 2 story building. renovations include code compliance renovation of e entry doors;warehouse, furniture;15.06.2018;28.11.2018;Nov;2018;Mission;12.11.2021;201806152013;additions alterations or repairs;constr_type_3;clinics-medic/dental;1512142159273;CA;94110;625000;0;166;450;2;1080;37,754173;-122,413161;1;625000
585 Buckingham Wy,San Francisco,CA,94132;True;San Francisco;14.08.2018;Aug;2018;remodel of 3 seperate store front suites to 1 4935 sq.ft. first floor suite inside a 128,064 sq.ft. five story medical office bld. maher na;office;12.06.2017;27.10.2017;Oct;2017;Lakeshore;11.10.2020;201706129057;otc alterations permit;constr_type_2;clinics-medic/dental;1466529473268;CA;94132;601724;0;137;291;1;1080;37,730239;-122,4765745;1;601724
166 29th St,San Francisco,CA,94110;True;San Francisco;6.04.2009;Apr;2009;new (2) story addition over (e) two sotry. new (4) story addition in rear of (e) bldg.;1 family dwelling;26.10.2005;5.09.2007;Sep;2007;Noe Valley;5.09.2009;200510266602;additions alterations or repairs;wood_frame_5;apartments;1033614209307;CA;94110;600000;200000;679;579;2;731;37,74407015;-122,423753899;1;800000
976 Elizabeth St,San Francisco,CA,94114;True;San Francisco;11.09.2008;Sep;2008;(e) single family dwelling to be renovated, expanded and converted into two (2) family dwelling units. current building foundation to be reinforced and the footprint is to extend 3' to the front and 8' to the rear. vertical addition;1 family dwelling;18.07.2006;18.09.2007;Sep;2007;Noe Valley;18.09.2009;200607186891;additions alterations or repairs;wood_frame_5;2 family dwelling;1060170144805;CA;94114;600000;0;427;359;1;731;37,7517535;-122,4421267;1;600000
451 34th Av,San Francisco,CA,94121;True;San Francisco;24.01.2013;Jan;2013;to convert a 2 story single family residential bldg into a 4-story 2 residential units bldg by vertical and horizontal additions to the existing bldg.;1 family dwelling;6.02.2008;9.11.2011;Nov;2011;Outer Richmond;24.10.2014;200802064209;additions alterations or repairs;wood_frame_5;2 family dwelling;1124726100910;CA;94121;600000;328000;1372;442;2;1080;37,78060365;-122,494728937;1;928000
36 Pleasant St,San Francisco,CA,94108;True;San Francisco;13.01.2014;Jan;2014;addition of 2 new floors, 2 onsite parking spaces, conversion of residential duplex into residential triplex. no horizontal extension. addition of roof decks. kitchen/bath remodel at existing 2nd and 3rd floors. addition of elevator.;2 family dwelling;7.05.2009;30.03.2012;Mar;2012;Nob Hill;15.03.2015;200905077950;additions alterations or repairs;wood_frame_5;apartments;1172786385289;CA;94108;600000;0;1058;654;2;1080;37,79302355;-122,413373433;1;600000
34 Pleasant St,San Francisco,CA,94108;True;San Francisco;13.01.2014;Jan;2014;addition of 2 new floors, 2 onsite parking spaces, conversion of residential duplex into residential triplex. no horizontal extension. addition of roof decks. kitchen/bath remodel at existing 2nd and 3rd floors. addition of elevator.;2 family dwelling;7.05.2009;30.03.2012;Mar;2012;Nob Hill;15.03.2015;200905077950;additions alterations or repairs;wood_frame_5;apartments;117278962874;CA;94108;600000;0;1058;654;2;1080;37,79302355;-122,413373433;1;600000
777 Valencia St,San Francisco,CA,94110;True;San Francisco;5.07.2013;Jul;2013;tenant improvement for restaurant, bar establishment, jazz club includes kitchen, bathrooms, mezzanine on 1st floor.;school;29.12.2010;20.07.2011;Jul;2011;Mission;4.07.2014;201012297585;additions alterations or repairs;wood_frame_5;food/beverage hndlng;1226935160557;CA;94110;600000;420865;203;716;2;1080;37,760533959;-122,421362184;1;1020865
303 2nd St,San Francisco,CA,94105;True;San Francisco;15.03.2012;Mar;2012;convert 3600 sq ft of (e) parking level into ocnditioned retail space.exterior storefronts under separate permit core and shell work only retail tenant under separate permit;prkng garage/public;10.02.2011;2.03.2011;Mar;2011;Financial District/South Beach;14.02.2014;201102109981;otc alterations permit;constr_type_1;retail sales;1230050370118;CA;94105;600000;0;20;379;1;1080;37,7849051;-122,3959198;1;600000
639 Natoma St,San Francisco,CA,94103;True;San Francisco;18.02.2015;Feb;2015;to comply with his (n.o.v #200903482) on 04/27/09.propose horizontal & vertical addition to (e) two units building to accommodte three units and three car garage.;2 family dwelling;19.04.2011;1.05.2012;May;2012;South of Market;16.04.2015;201104194374;additions alterations or repairs;wood_frame_5;apartments;1235899165002;CA;94103;600000;0;378;1023;3;1080;37,7776176;-122,410784649;1;600000
5499 California St,San Francisco,CA,94118;True;San Francisco;18.09.2012;Sep;2012;demolish a portion of (e) building & alter remaining portion. building code: remove 1 residential unit & relocate 1 (e) above (e) commercial. planning code: remove 2 residential units (per section 317) & add 1 new dwelling on top of (e) commercial as approved by planning commision. cu motion#18287.;2 family dwelling;15.06.2011;3.10.2011;Oct;2011;Outer Richmond;17.09.2014;201106158156;additions alterations or repairs;wood_frame_5;1 family dwelling;1241019381785;CA;94118;600000;0;110;351;1;1080;37,7859709;-122,4569759;1;600000
208 17th Av,San Francisco,CA,94118;True;San Francisco;18.09.2012;Sep;2012;demolish a portion of (e) building & alter remaining portion. building code: remove 1 residential unit & relocate 1 (e) above (e) commercial. planning code: remove 2 residential units (per section 317) & add 1 new dwelling on top of (e) commercial as approved by planning commision. cu motion#18287.;2 family dwelling;15.06.2011;3.10.2011;Oct;2011;Outer Richmond;17.09.2014;201106158156;additions alterations or repairs;wood_frame_5;1 family dwelling;1241020475565;CA;94118;600000;0;110;351;1;1080;37,7841047;-122,4763054;1;600000
834 Broderick St,San Francisco,CA,94115;True;San Francisco;28.07.2015;Jul;2015;complete interior renovation of all floors. new roof deck within extg envelope (massing reduction) new  exterior egress stair.sprinklers, fire alarm separate permits.  compliance with ord #155-13 not required.;2 family dwelling;18.10.2013;8.01.2014;Jan;2014;Western Addition;23.12.2016;201310189678;otc alterations permit;wood_frame_5;apartments;132132890840;CA;94115;600000;400000;82;566;1;1080;37,784113;-122,4413671;1;1000000
840 Broderick St,San Francisco,CA,94115;True;San Francisco;28.07.2015;Jul;2015;complete interior renovation of all floors. new roof deck within extg envelope (massing reduction) new  exterior egress stair.sprinklers, fire alarm separate permits.  compliance with ord #155-13 not required.;2 family dwelling;18.10.2013;8.01.2014;Jan;2014;Western Addition;23.12.2016;201310189678;otc alterations permit;wood_frame_5;apartments;1321329351261;CA;94115;600000;400000;82;566;1;1080;37,784113;-122,4413671;1;1000000
601 19th St,San Francisco,CA,94107;True;San Francisco;4.10.2017;Oct;2017;construct new event space, restaurant & non formula retail. construct nre roof top garden with new skylight. build (2) interior stairs & new elevator. extend all 3 to roof. expand (e) entrances. add new windows. compliance w/ordiance no.155-13 not required.;manufacturing;17.07.2014;7.05.2015;May;2015;Potrero Hill;21.04.2018;201407171496;additions alterations or repairs;constr_type_3;food/beverage hndlng;1349219169245;CA;94107;600000;1269262;294;881;2;1080;37,7615174;-122,388966352;1;1869262
360 3rd St,San Francisco,CA,94107;True;San Francisco;29.06.2015;Jun;2015;wine bar/cafe new non stuctural partitions, hvac, electrical, plmg, millwork, ceilings electric stove.  store front change. not visible from street (level below). n/a for the maher. ref app#201406118133;office;26.03.2015;15.05.2015;May;2015;South of Market;29.04.2018;201503261978;otc alterations permit;constr_type_1;food/beverage hndlng;1375754488748;CA;94107;600000;0;50;45;0;1080;37,782697;-122,398363201;1;600000
2111 Harrison St,San Francisco,CA,94110;True;San Francisco;17.11.2015;Nov;2015;ti for new market. change of use. interior only-(n) interior partitions, commercial kitchen, (n) electrical, plumbing, mech,lighting & refrigeration. demolition & exterior filed under separate permit.;office;28.04.2015;24.07.2015;Jul;2015;Mission;8.07.2018;201504284827;additions alterations or repairs;constr_type_3;retail sales;1379623503028;CA;94110;600000;690000;87;116;0;1080;37,7639653;-122,4127878;1;1290000
1331 San Bruno Av,San Francisco,CA,94110;True;San Francisco;22.02.2019;Feb;2019;horizontal & vertical addition. replace foundation, bring front & rear facades level, more front steps. change windows & doors. add 3rd story @ back at the house. add decks in back 2nd story & front 3rd story. add bathroom 3rd story.;1 family dwelling;13.07.2015;8.08.2016;Aug;2016;Mission;24.07.2019;201507131253;additions alterations or repairs;wood_frame_5;2 family dwelling;1388141172644;CA;94110;600000;0;392;928;3;1080;37,7526859;-122,404092624;1;600000
1230 21st Av,San Francisco,CA,94122;True;San Francisco;14.01.2019;Jan;2019;horizonal addition at rear yard. (e) 3-story single family house - convert to 2-unit residential 3-story rear yard addition, (2) roof decks at (e) unit. renovate kitchen & bath, add full bath & 1/2 bath. add (n) bedroom @ (n) unit. (n) kitchen, (2)(n) full bath, (1)(n) 1/2 bath.;1 family dwelling;31.07.2015;21.12.2016;Dec;2016;Sunset/Parkside;6.12.2019;201507313053;additions alterations or repairs;wood_frame_5;2 family dwelling;1390477112002;CA;94122;600000;0;509;754;3;1080;37,76472445;-122,479153520;1;600000
1275 Market St,San Francisco,CA,94103;True;San Francisco;3.05.2017;May;2017;addition of acoustic treatment inside the cinema ref pa 2015-0605-8287 (s3);office;20.05.2016;6.06.2016;Jun;2016;South of Market;22.05.2019;201605207962;otc alterations permit;constr_type_1;theater;1423945458145;CA;94103;600000;0;17;331;1;1080;37,7775595;-122,415649937;1;600000
3431 Taraval St,San Francisco,CA,94116;True;San Francisco;29.08.2019;Aug;2019;renov(e)1st story of a type 5 bldg.upgrade(e)foundation to support 1 new story add above(e)1st story.install a new elevator,an auto.sprinklr sym,(n)stair/intr parti/acoustical ceilings/lighting access.restrms, upgrade(e)pwr distribution/plumb/mech sym(n)roof/roof deck (n)flring,windows,drs&storefrt;dry cleaners;14.09.2016;17.05.2017;May;2017;Sunset/Parkside;1.05.2020;201609147642;additions alterations or repairs;wood_frame_5;clinics-medic/dental;1437311133563;CA;94116;600000;0;245;834;2;1080;37,7431539;-122,4734709;1;600000
661 Page St,San Francisco,CA,94117;True;San Francisco;16.05.2019;May;2019;add unit at basement lvl & 1st flr, pvt roof deck w/no stair penthouse. new skylights, int remodel of flr plans @ (e) 2 units. eliminate wood stair, fully sprinklered bldg nfpa-13r under separate, seismic upgrade,1-hr fire rated upgraded wall assemblies. add 1-1/2 baths on unit 2 & 3.;2 family dwelling;13.06.2017;2.01.2018;Jan;2018;Hayes Valley;17.12.2020;201706139268;additions alterations or repairs;wood_frame_5;apartments;146680283051;CA;94117;600000;200000;203;499;1;1080;37,7705417;-122,4503323;1;800000
663 Page St,San Francisco,CA,94117;True;San Francisco;16.05.2019;May;2019;add unit at basement lvl & 1st flr, pvt roof deck w/no stair penthouse. new skylights, int remodel of flr plans @ (e) 2 units. eliminate wood stair, fully sprinklered bldg nfpa-13r under separate, seismic upgrade,1-hr fire rated upgraded wall assemblies. add 1-1/2 baths on unit 2 & 3.;2 family dwelling;13.06.2017;2.01.2018;Jan;2018;Hayes Valley;17.12.2020;201706139268;additions alterations or repairs;wood_frame_5;apartments;1466803451385;CA;94117;600000;200000;203;499;1;1080;37,7705417;-122,4503323;1;800000
510 Townsend St,San Francisco,CA,94103;True;San Francisco;10.09.2019;Sep;2019;3/f- interior t.i. of warm shell space, construction to include new partitions, finishes, lighting and equipment. fire protection under seperate permit. new bldg. pa#201503050110. n/a ordinance #155-13;vacant lot;1.08.2017;10.08.2017;Aug;2017;South of Market;25.07.2020;201708013474;otc alterations permit;constr_type_1;office;1472732369644;CA;94103;600000;1400000;9;761;2;1080;37,7735277;-122,400425442;1;2000000
510 Townsend St,San Francisco,CA,94103;True;San Francisco;11.09.2019;Sep;2019;4th fl: interior t.i. of warm shell space, construction to include new partitions, finishes, lighting and equipment. fire protection under separate permit. new bldg. pa#201503050110. n/a ordinance #155-13;vacant lot;3.08.2017;11.08.2017;Aug;2017;South of Market;26.07.2020;201708033839;otc alterations permit;constr_type_1;office;1473254369644;CA;94103;600000;1400000;8;761;2;1080;37,7735277;-122,400425442;1;2000000
510 Townsend St,San Francisco,CA,94103;True;San Francisco;11.09.2019;Sep;2019;5th fl: interior t.i. of warm shell space, construction to include new partitions, finishes, lighting and equipment. fire protection under separate permit. new bldg. pa#201503050110. n/a ordinance #155-13;vacant lot;3.08.2017;16.08.2017;Aug;2017;South of Market;31.07.2020;201708033842;otc alterations permit;constr_type_1;office;1473258369644;CA;94103;600000;1400000;13;756;2;1080;37,7735277;-122,400425442;1;2000000
3550 Mission St,San Francisco,CA,94110;True;San Francisco;3.11.1998;Nov;1998;alteration of existing gas station;filling/service stn;14.03.1997;20.04.1998;Apr;1998;Bernal Heights;20.04.2000;9704818;additions alterations or repairs;wood_frame_5;food/beverage hndlng;612516210290;CA;94110;600000;5000;402;197;0;731;37,7402722;-122,423696653;1;605000
295 Bay St,San Francisco,CA,94133;True;San Francisco;5.06.2001;Jun;2001;change theatre to ofice on ground floor, ground floor to become two levels, 2nd & 3rd office use;theater;11.01.2000;6.03.2000;Mar;2000;North Beach;6.03.2002;20000111784;additions alterations or repairs;constr_type_1;office;762259291600;CA;94133;600000;0;55;456;1;730;37,805769735;-122,411725673;1;600000
299 Bay St,San Francisco,CA,94133;True;San Francisco;5.06.2001;Jun;2001;change theatre to ofice on ground floor, ground floor to become two levels, 2nd & 3rd office use;theater;11.01.2000;6.03.2000;Mar;2000;North Beach;6.03.2002;20000111784;additions alterations or repairs;constr_type_1;office;762260347039;CA;94133;600000;0;55;456;1;730;37,805763;-122,41178;1;600000
260 Golden Gate Av,San Francisco,CA,94102;True;San Francisco;14.09.2001;Sep;2001;construct bedrooms, bathrooms,electrical,hyac,plumbing,kitchen.;office;12.07.2000;18.09.2000;Sep;2000;Tenderloin;18.09.2002;200007124905;additions alterations or repairs;constr_type_2;apartments;823679376791;CA;94102;590000;0;68;361;1;730;37,78202815;-122,415028337;1;590000
1 Market St,San Francisco,CA,94105;True;San Francisco;30.04.2018;Apr;2018;g/f- cafe at ground fl. new interior partitions, doors, interior glazing, gyp. bd. and acoustic ceilings for restaurant a-2 use at g/f. mep, fire sprinkler and fire alarm under seperate permit. n/a ordinance #155-13  communicating openings between lot 6 and lot 7 ref pa 201705015330. maher na;office;17.04.2017;20.07.2017;Jul;2017;Financial District/South Beach;4.07.2020;201704174154;otc alterations permit;constr_type_1;food/beverage hndlng;1467366164604;CA;94105;587525;0;94;284;1;1080;37,79381995;-122,394814443;1;587525
1700 Fillmore St,San Francisco,CA,94115;True;San Francisco;22.12.2008;Dec;2008;tenant improvement in (e) shell-full service restaurant. new handicap entry (per ada requirements), bar with counters, shelves and sink. 2 handicap bathrooms, new kitchen with type 1 hood;retail sales;14.05.2008;3.07.2008;Jul;2008;Japantown;3.07.2010;200805142042;additions alterations or repairs;constr_type_3;food/beverage hndlng;113584879145;CA;94115;580000;0;50;172;0;730;37,78537425;-122,432849151;1;580000
101 Spear St,San Francisco,CA,94105;True;San Francisco;8.02.2012;Feb;2012;4th floor-demolition of (e) non structural partitions & ceiling, new interior construction including partitions, millwork, plumbing, doors, hard lid, finished ceiling, lighting & finishes. mechanical, electrical & plumbing under separate permit. change of use from offices to classrooms.;office;10.03.2011;21.04.2011;Apr;2011;Financial District/South Beach;5.04.2014;201103101803;otc alterations permit;constr_type_1;school;1235541164629;CA;94105;575000;0;42;293;1;1080;37,7925915;-122,3930383;1;575000
655 Montgomery St,San Francisco,CA,94111;True;San Francisco;17.01.2020;Jan;2020;ground floor. t.i. for new general office. new restrooms & janitor closet. m.e.p & fire life safety done under separate permit (deferred).** maher: n/a **;retail sales;10.05.2018;13.11.2018;Nov;2018;Chinatown;28.10.2021;201805108774;additions alterations or repairs;constr_type_1;office;150761362300;CA;94111;574059;0;187;430;2;1080;37,7952606;-122,403606776;1;574059
564 Market St,San Francisco,CA,94104;True;San Francisco;20.10.2015;Oct;2015;t.i. for new coffee cafe. work includes new partitions, fixtures, finishes, equipment mep. no exterior work. fire protection under seperate permit.;retail sales;19.03.2014;8.04.2014;Apr;2014;Financial District/South Beach;23.03.2017;201403191148;otc alterations permit;constr_type_3;food/beverage hndlng;1335945359415;CA;94104;573000;0;20;560;1;1080;37,785873;-122,4057171;1;573000
